File Version,BWSpec4.11_1
123,799.47,12508.28,230.57,1076.0000,65535.0000,4468.3333,3392.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
124,799.62,12505.91,232.94,1083.0000,65535.0000,4346.0000,3263.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
125,799.77,12503.53,235.32,1120.0000,65535.0000,4224.3333,3104.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
126,799.93,12501.16,237.69,1063.0000,65535.0000,4063.6667,3000.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
127,800.08,12498.79,240.06,1083.0000,65535.0000,3940.6667,2857.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
128,800.23,12496.42,242.44,1092.0000,65535.0000,3859.3333,2767.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
129,800.38,12494.05,244.81,1091.0000,65535.0000,3748.3333,2657.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
130,800.53,12491.68,247.17,1086.0000,65535.0000,3664.0000,2578.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
131,800.68,12489.31,249.54,1098.0000,65535.0000,3622.3333,2524.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
132,800.84,12486.94,251.91,1045.0000,65535.0000,3540.0000,2495.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
133,800.99,12484.58,254.27,1040.0000,65535.0000,3501.6667,2461.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
134,801.14,12482.21,256.64,1078.0000,65535.0000,3440.3333,2362.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
135,801.29,12479.85,259.00,1051.0000,65535.0000,3393.0000,2342.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
136,801.44,12477.49,261.37,1087.0000,65535.0000,3394.0000,2307.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
137,801.60,12475.13,263.73,1112.0000,65535.0000,3347.0000,2235.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
138,801.75,12472.77,266.09,1083.0000,65535.0000,3280.0000,2197.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
139,801.90,12470.41,268.45,1045.0000,65535.0000,3215.3333,2170.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
140,802.05,12468.05,270.81,1096.0000,65535.0000,3218.3333,2122.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
141,802.20,12465.69,273.16,1106.0000,65535.0000,3168.0000,2062.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
142,802.35,12463.33,275.52,1070.0000,65535.0000,3116.0000,2046.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
143,802.51,12460.98,277.88,1104.0000,65535.0000,3089.6667,1985.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
144,802.66,12458.62,280.23,1073.0000,65535.0000,3004.6667,1931.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
145,802.81,12456.27,282.58,1080.0000,65535.0000,3052.3333,1972.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
146,802.96,12453.92,284.94,1083.0000,65535.0000,2988.0000,1905.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
147,803.11,12451.57,287.29,1079.0000,65535.0000,2936.0000,1857.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
148,803.26,12449.22,289.64,1106.0000,65535.0000,2923.0000,1817.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
149,803.42,12446.87,291.99,1076.0000,65535.0000,2893.6667,1817.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
150,803.57,12444.52,294.33,1079.0000,65535.0000,2870.6667,1791.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
151,803.72,12442.17,296.68,1090.0000,65535.0000,2827.0000,1737.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
